               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.076016,            0.075555,           0.0058643,             0.74635,             0.59498,             0.64774,             0.39134,            0.068689,            0.072658,           0.0069182,             0.00307,             0.00307,             0.00307
                  37,            0.076219,            0.074872,           0.0057835,             0.73807,             0.59562,             0.64677,             0.39084,            0.068748,            0.072878,           0.0070525,            0.002872,            0.002872,            0.002872
                  38,            0.075883,            0.074423,           0.0056151,             0.74627,             0.60482,             0.65031,             0.39476,            0.068688,            0.073287,           0.0069453,            0.002674,            0.002674,            0.002674
                  39,            0.075953,             0.07483,           0.0056269,             0.75779,             0.59926,             0.65314,             0.39621,            0.068646,            0.073421,           0.0069652,            0.002476,            0.002476,            0.002476
                  40,            0.075844,            0.074916,           0.0055803,             0.75292,             0.59951,             0.65198,             0.39686,            0.068605,            0.073217,           0.0068501,            0.002278,            0.002278,            0.002278
                  41,            0.076424,            0.075003,           0.0054888,             0.75848,             0.60241,             0.65391,             0.39824,            0.068544,            0.073242,            0.006873,             0.00208,             0.00208,             0.00208
                  42,            0.075006,            0.073949,           0.0053645,             0.74412,             0.60402,             0.65182,             0.39915,            0.068501,            0.072894,           0.0068701,            0.001882,            0.001882,            0.001882
                  43,            0.075059,            0.074164,           0.0053585,             0.75609,             0.59478,             0.64993,             0.39794,            0.068548,            0.073357,           0.0069796,            0.001684,            0.001684,            0.001684
                  44,            0.075566,            0.074227,           0.0052619,             0.76679,             0.59574,             0.65331,             0.39995,            0.068439,            0.073446,           0.0069477,            0.001486,            0.001486,            0.001486
                  45,            0.074994,            0.073384,           0.0052434,             0.76069,              0.6003,             0.65191,             0.39917,            0.068486,            0.073697,           0.0070239,            0.001288,            0.001288,            0.001288
                  46,            0.074805,            0.072879,           0.0051065,             0.75806,             0.59998,             0.65307,             0.39958,            0.068487,            0.073732,           0.0070254,             0.00109,             0.00109,             0.00109
                  47,            0.075097,            0.073578,            0.005162,             0.75365,             0.60174,             0.65585,             0.40203,            0.068467,            0.073632,           0.0070717,            0.000892,            0.000892,            0.000892
                  48,            0.075092,            0.073941,            0.005108,             0.75548,             0.60232,             0.65581,             0.40179,            0.068472,            0.073851,           0.0070351,            0.000694,            0.000694,            0.000694
                  49,            0.074432,            0.072745,           0.0050786,              0.7525,             0.60003,             0.65308,             0.40175,            0.068483,            0.073866,           0.0070271,            0.000496,            0.000496,            0.000496
