                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2034,                 0.7046,                0.92895,                0.77184,                0.64393,                0.69246,                0.46594,                 1.3681,                0.86916,                0.98065,              0.0001719,              0.0001719,              0.0001719
                     36,                 1.2063,                0.71149,                 0.9315,                0.78972,                0.63492,                 0.6956,                0.46816,                 1.3751,                0.86902,                0.98134,             0.00016148,             0.00016148,             0.00016148
                     37,                 1.2033,                0.70189,                0.92799,                 0.7823,                0.63904,                0.69521,                0.46734,                  1.376,                0.87859,                 0.9811,             0.00015107,             0.00015107,             0.00015107
                     38,                 1.1878,                0.68861,                0.92524,                 0.7856,                0.63728,                0.69386,                0.46658,                 1.3799,                0.86566,                0.98385,             0.00014065,             0.00014065,             0.00014065
                     39,                 1.2007,                0.69499,                0.92511,                0.77638,                0.65466,                0.70015,                0.46988,                 1.3754,                 0.8641,                 0.9855,             0.00013024,             0.00013024,             0.00013024
                     40,                 1.1902,                0.68285,                0.92371,                0.79065,                0.64546,                0.69832,                0.47117,                 1.3692,                0.87113,                0.98048,             0.00011982,             0.00011982,             0.00011982
                     41,                  1.189,                0.67001,                0.92158,                0.78972,                0.64496,                0.69587,                0.46888,                 1.3746,                0.87187,                 0.9828,             0.00010941,             0.00010941,             0.00010941
                     42,                  1.169,                0.65335,                0.92053,                0.76975,                0.65294,                0.69779,                0.46963,                 1.3717,                  0.872,                0.98306,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 1.1699,                0.64814,                0.91553,                0.78377,                0.64471,                0.69687,                0.46924,                  1.371,                0.87068,                0.98121,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 1.1621,                 0.6429,                0.91652,                0.79205,                0.64593,                0.70046,                0.47274,                 1.3722,                0.86921,                0.98196,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                 1.1573,                0.63459,                0.91642,                0.78849,                0.64303,                0.69821,                0.47023,                  1.374,                0.86956,                0.98325,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                 1.1517,                  0.631,                0.91301,                0.79935,                0.63646,                0.69924,                0.47098,                 1.3747,                0.87177,                0.98365,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                 1.1506,                0.62462,                0.91181,                 0.7948,                0.63644,                0.69793,                0.47104,                 1.3729,                0.87061,                0.98248,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                 1.1454,                0.62178,                0.90971,                0.79042,                0.64193,                0.69901,                0.47195,                  1.374,                0.87269,                0.98312,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                 1.1417,                0.61402,                0.90774,                0.78947,                0.64313,                0.70042,                0.47277,                 1.3724,                0.87404,                0.98404,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                  1.131,                0.60626,                0.90477,                0.80219,                0.63639,                0.70076,                0.47302,                 1.3723,                0.87542,                0.98448,             1.5675e-05,             1.5675e-05,             1.5675e-05
